TeamID,TeamName,FirstD1Season,LastD1Season,most_recent,number_of_tourneys,percent_of_tourneys_made,best_seed,worst_seed,average_seed,best_finish,best_season,worst_finish,worst_season,average_finish
1197,Florida A&M,1985,2019,2007,2,12.5,16,16,16.0,R32,2004,R64,2007,R64
1198,Florida Intl,1988,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1199,Florida St,1985,2019,2018,6,37.5,3,12,6.666666666666667,Elite 8,2018,R64,2009,R32
1200,Fordham,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1201,Fresno St,1985,2019,2016,1,6.25,9,14,10.666666666666666,R64,2016,R64,2016,R64
1202,Furman,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1203,G Washington,1985,2019,2014,4,25.0,8,12,10.333333333333334,R32,2006,R64,2005,R64
1204,Ga Southern,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1205,Gardner Webb,2003,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1206,George Mason,1985,2019,2011,3,18.75,8,15,12.333333333333334,Final Four,2006,R64,2008,R32
1207,Georgetown,1985,2019,2015,8,50.0,1,10,4.666666666666667,Final Four,2007,R64,2010,R32
1208,Georgia,1985,2019,2015,3,18.75,3,14,8.0,R64,2008,R64,2008,R64
1209,Georgia St,1985,2019,2018,2,12.5,11,16,14.0,R32,2015,R64,2018,R64
1210,Georgia Tech,1985,2019,2010,4,25.0,2,10,5.6,Championship,2004,R64,2007,R32
1211,Gonzaga,1985,2019,2018,16,100.0,1,14,6.809523809523809,Championship,2017,R64,2007,R32
1212,Grambling,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1213,Grand Canyon,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1214,Hampton,1996,2019,2016,4,25.0,15,16,15.666666666666666,R32,2015,R64,2006,R64
1215,Hardin-Simmons,1985,1990,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1216,Hartford,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1217,Harvard,1985,2019,2015,4,25.0,12,14,12.75,R32,2013,R64,2012,R64
1218,Hawaii,1985,2019,2016,1,6.25,10,13,12.0,R32,2016,R32,2016,R32
1219,High Point,2000,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1220,Hofstra,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1221,Holy Cross,1985,2019,2016,3,18.75,13,16,14.5,R32,2016,R64,2003,R64
1222,Houston,1985,2019,2018,2,12.5,6,13,9.8,R32,2018,R64,2010,R64
1223,Houston Bap,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1224,Howard,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1225,Idaho,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1226,Idaho St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1227,IL Chicago,1985,2019,2004,1,6.25,9,15,12.333333333333334,R64,2004,R64,2004,R64
1228,Illinois,1985,2019,2013,8,50.0,1,12,5.045454545454546,Championship,2005,R64,2007,R32
1229,Illinois St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1230,Incarnate Word,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1231,Indiana,1985,2019,2016,8,50.0,1,10,5.08,Sweet 16,2012,R64,2008,R32
1232,Indiana St,1985,2019,2011,1,6.25,12,14,13.0,R64,2011,R64,2011,R64
1233,Iona,1985,2019,2018,6,37.5,12,15,13.7,R64,2006,R64,2006,R64
1234,Iowa,1985,2019,2016,5,31.25,2,11,6.705882352941177,R32,2015,R64,2005,R64
1235,Iowa St,1985,2019,2017,7,43.75,2,13,6.888888888888889,Sweet 16,2014,R64,2015,R32
1236,IPFW,2003,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1237,IUPUI,1999,2019,2003,1,6.25,16,16,16.0,R64,2003,R64,2003,R64
1238,Jackson St,1985,2019,2007,1,6.25,16,16,16.0,R64,2007,R64,2007,R64
1239,Jacksonville,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1240,Jacksonville St,1996,2019,2017,1,6.25,15,15,15.0,R64,2017,R64,2017,R64
1241,James Madison,1985,2019,2013,1,6.25,14,16,15.0,R32,2013,R32,2013,R32
1242,Kansas,1985,2019,2018,16,100.0,1,8,2.4545454545454546,Championship,2003,R64,2005,Sweet 16
1243,Kansas St,1985,2019,2018,8,50.0,2,11,7.5,Elite 8,2010,R64,2013,R32
1244,Kennesaw,2006,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1245,Kent,1985,2019,2017,3,18.75,9,14,11.5,R64,2006,R64,2006,R64
1246,Kentucky,1985,2019,2018,14,87.5,1,12,3.6206896551724137,Championship,2012,R64,2008,Sweet 16
1247,La Salle,1985,2019,2013,1,6.25,4,13,10.2,Elite 8,2013,Elite 8,2013,Elite 8
1248,Lafayette,1985,2019,2015,1,6.25,15,16,15.333333333333334,R64,2015,R64,2015,R64
1249,Lamar,1985,2019,2012,1,6.25,16,16,16.0,R64,2012,R64,2012,R64
1250,Lehigh,1985,2019,2012,3,18.75,15,16,15.8,R32,2012,R64,2004,R64
1251,Liberty,1989,2019,2013,2,12.5,16,16,16.0,R64,2004,R64,2004,R64
1252,Lipscomb,2003,2019,2018,1,6.25,15,15,15.0,R64,2018,R64,2018,R64
1253,Long Beach St,1985,2019,2012,2,12.5,11,13,12.0,R64,2007,R64,2007,R64
1254,Long Island,1985,2019,2018,4,25.0,13,16,15.2,R64,2011,R64,2011,R64
1255,Longwood,2005,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1256,Louisiana Tech,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1257,Louisville,1985,2019,2017,13,81.25,1,11,4.92,Championship,2013,R64,2004,Sweet 16
1258,Loy Marymount,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1259,Loyola MD,1985,2019,2012,1,6.25,15,15,15.0,R64,2012,R64,2012,R64
1260,Loyola-Chicago,1985,2019,2018,1,6.25,4,11,7.5,Final Four,2018,Final Four,2018,Final Four
1261,LSU,1985,2019,2015,5,31.25,4,11,7.466666666666667,Final Four,2006,R64,2003,R32
1262,MA Lowell,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1263,Maine,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1264,Manhattan,1985,2019,2015,4,25.0,11,16,13.166666666666666,R32,2004,R64,2003,R64
1265,Marist,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1266,Marquette,1985,2019,2017,10,62.5,3,12,6.466666666666667,Final Four,2003,R64,2006,R32
1267,Marshall,1985,2019,2018,1,6.25,13,15,13.666666666666666,R32,2018,R32,2018,R32
1268,Maryland,1985,2019,2017,8,50.0,1,10,4.9,Sweet 16,2003,R64,2017,R32
1269,Massachusetts,1985,2019,2014,1,6.25,1,11,4.375,R64,2014,R64,2014,R64
1270,McNeese St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1271,MD E Shore,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1272,Memphis,1985,2019,2014,10,62.5,1,12,5.555555555555555,Championship,2008,R64,2003,R32
1273,Mercer,1985,2019,2014,1,6.25,14,15,14.5,R32,2014,R32,2014,R32
1274,Miami FL,1986,2019,2018,5,31.25,2,11,5.555555555555555,Sweet 16,2013,R64,2017,R32
1275,Miami OH,1985,2019,2007,1,6.25,10,14,12.0,R64,2007,R64,2007,R64
1276,Michigan,1985,2019,2018,8,50.0,1,11,4.95,Championship,2013,R64,2012,Sweet 16
1277,Michigan St,1985,2019,2018,16,100.0,1,10,4.928571428571429,Championship,2009,R64,2004,Sweet 16
1278,Minnesota,1985,2019,2017,5,31.25,1,11,7.636363636363637,R32,2013,R64,2005,R64
1279,Mississippi,1985,2019,2015,2,12.5,3,12,8.0,R32,2013,R32,2013,R32
1280,Mississippi St,1985,2019,2009,5,31.25,2,13,6.111111111111111,R32,2004,R64,2003,R64
1281,Missouri,1985,2019,2018,7,43.75,1,12,6.9,Elite 8,2009,R64,2011,R64
1282,Missouri KC,1990,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1283,Missouri St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1284,Monmouth NJ,1985,2019,2006,2,12.5,13,16,15.0,R32,2006,R64,2004,R64
1285,Montana,1985,2019,2018,6,37.5,12,16,14.3,R32,2006,R64,2005,R64
1286,Montana St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1287,Morehead St,1985,2019,2011,2,12.5,13,16,14.5,R32,2009,R32,2009,R32
1288,Morgan St,1985,2019,2010,2,12.5,15,15,15.0,R64,2009,R64,2009,R64
1289,Morris Brown,2002,2003,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1290,MS Valley St,1985,2019,2012,2,12.5,15,16,15.8,R64,2008,R64,2008,R64
1291,Mt St Mary's,1989,2019,2017,3,18.75,16,16,16.0,R32,2008,R64,2014,R64
1292,MTSU,1985,2019,2017,3,18.75,11,15,13.0,R32,2016,R64,2013,R64
1293,Murray St,1985,2019,2018,5,31.25,6,16,12.857142857142858,R32,2010,R64,2004,R64
1294,N Colorado,2005,2019,2011,1,6.25,15,15,15.0,R64,2011,R64,2011,R64
1295,N Dakota St,2006,2019,2015,3,18.75,12,15,13.666666666666666,R32,2014,R64,2009,R64
1296,N Illinois,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1297,N Kentucky,2013,2019,2017,1,6.25,15,15,15.0,R64,2017,R64,2017,R64
1298,Navy,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1299,NC A&T,1985,2019,2013,1,6.25,14,16,15.571428571428571,R32,2013,R32,2013,R32
1300,NC Central,2008,2019,2018,3,18.75,14,16,15.333333333333334,R64,2014,R64,2014,R64
1301,NC State,1985,2019,2018,9,56.25,3,12,7.5625,Sweet 16,2005,R64,2003,R32
1302,NE Illinois,1991,1998,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1303,NE Omaha,2012,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1304,Nebraska,1985,2019,2014,1,6.25,3,11,8.285714285714286,R64,2014,R64,2014,R64
1305,Nevada,1985,2019,2018,6,37.5,5,14,9.142857142857142,Sweet 16,2004,R64,2006,R32
1306,New Hampshire,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1307,New Mexico,1985,2019,2014,5,31.25,3,14,6.833333333333333,R32,2010,R64,2005,R64
1308,New Mexico St,1985,2019,2018,8,50.0,6,15,11.642857142857142,R64,2007,R64,2007,R64
1309,New Orleans,1985,2019,2017,1,6.25,7,16,11.2,R64,2017,R64,2017,R64
1310,Niagara,1985,2019,2007,2,12.5,14,16,15.0,R32,2007,R64,2005,R64
1311,Nicholls St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1312,NJIT,2007,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1313,Norfolk St,1998,2019,2012,1,6.25,15,15,15.0,R32,2012,R32,2012,R32
1314,North Carolina,1985,2019,2018,14,87.5,1,8,2.774193548387097,Championship,2005,R32,2004,Sweet 16
1315,North Dakota,2009,2019,2017,1,6.25,15,15,15.0,R64,2017,R64,2017,R64
1316,North Florida,2006,2019,2015,1,6.25,16,16,16.0,R64,2015,R64,2015,R64
1317,North Texas,1985,2019,2010,2,12.5,15,15,15.0,R64,2007,R64,2007,R64
1318,Northeastern,1985,2019,2015,1,6.25,13,16,14.2,R64,2015,R64,2015,R64
1319,Northern Arizona,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1320,Northern Iowa,1985,2019,2016,7,43.75,5,14,10.75,Sweet 16,2010,R64,2004,R64
1321,Northwestern,1985,2019,2017,1,6.25,8,8,8.0,R32,2017,R32,2017,R32
1322,Northwestern LA,1985,2019,2013,2,12.5,14,16,14.666666666666666,R32,2006,R64,2013,R64
1323,Notre Dame,1985,2019,2017,10,62.5,2,10,6.111111111111111,Elite 8,2015,R64,2007,R32
1324,Oakland,2000,2019,2011,3,18.75,13,16,14.333333333333334,R32,2005,R64,2010,R64
1325,Ohio,1985,2019,2012,3,18.75,12,14,13.2,Sweet 16,2012,R64,2005,R32
1326,Ohio St,1985,2019,2018,10,62.5,1,10,4.105263157894737,Championship,2007,R64,2009,R32
1327,Okla City,1985,1985,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1328,Oklahoma,1985,2019,2018,10,62.5,1,13,4.92,Final Four,2016,R64,2006,R32
1329,Oklahoma St,1985,2019,2017,9,56.25,2,11,6.0,Final Four,2004,R64,2010,R64
1330,Old Dominion,1985,2019,2011,4,25.0,8,15,11.88888888888889,R32,2010,R64,2005,R64
1331,Oral Roberts,1985,2019,2008,3,18.75,13,16,14.333333333333334,R64,2006,R64,2006,R64
1332,Oregon,1985,2019,2017,8,50.0,1,12,6.0,Final Four,2017,R64,2003,R32
1333,Oregon St,1985,2019,2016,1,6.25,5,12,8.0,R64,2016,R64,2016,R64
1334,Pacific,1985,2019,2013,4,25.0,8,15,12.2,R32,2004,R64,2006,R64
1335,Penn,1985,2019,2018,5,31.25,11,16,13.23076923076923,R64,2003,R64,2003,R64
1336,Penn St,1985,2019,2011,1,6.25,5,13,8.75,R64,2011,R64,2011,R64
1337,Pepperdine,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1338,Pittsburgh,1985,2019,2016,12,75.0,1,12,5.315789473684211,Elite 8,2009,R64,2005,R32
1339,Portland,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1340,Portland St,1999,2019,2009,2,12.5,13,16,14.5,R64,2008,R64,2008,R64
1341,Prairie View,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1342,Presbyterian,2008,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1343,Princeton,1985,2019,2017,3,18.75,5,16,12.0,R64,2004,R64,2004,R64
1344,Providence,1985,2019,2018,6,37.5,5,12,8.916666666666666,R32,2016,R64,2004,R64
1345,Purdue,1985,2019,2018,11,68.75,1,10,5.24,Sweet 16,2009,R64,2015,R32
1346,Quinnipiac,1999,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1347,Radford,1985,2019,2018,2,12.5,16,16,16.0,R32,2018,R64,2009,R64
1348,Rhode Island,1985,2019,2018,2,12.5,7,12,9.428571428571429,R32,2017,R32,2017,R32
1349,Rice,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1350,Richmond,1985,2019,2011,3,18.75,7,15,12.125,Sweet 16,2011,R64,2004,R64
1351,Rider,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1352,Robert Morris,1985,2019,2015,3,18.75,15,16,15.5,R32,2015,R64,2009,R64
1353,Rutgers,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1354,S Carolina St,1985,2019,2003,1,6.25,15,16,15.4,R64,2003,R64,2003,R64
1355,S Dakota St,2006,2019,2018,5,31.25,12,16,13.4,R64,2012,R64,2012,R64
1356,S Illinois,1985,2019,2007,5,31.25,4,14,9.777777777777779,Sweet 16,2007,R64,2003,R64
1357,Sacred Heart,2000,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1358,Sam Houston St,1987,2019,2010,2,12.5,14,15,14.5,R64,2003,R64,2003,R64
1359,Samford,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1360,San Diego,1985,2019,2008,2,12.5,9,13,11.666666666666666,R32,2008,R64,2003,R64
1361,San Diego St,1985,2019,2018,8,50.0,2,13,8.6,Sweet 16,2011,R64,2006,R64
1362,San Francisco,1986,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1363,San Jose St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1364,Santa Barbara,1985,2019,2011,2,12.5,9,15,12.6,R64,2010,R64,2010,R64
1365,Santa Clara,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1366,Savannah St,2003,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1367,SC Upstate,2008,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1368,SE Louisiana,1985,2019,2005,1,6.25,15,15,15.0,R64,2005,R64,2005,R64
1369,SE Missouri St,1992,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1370,Seattle,2009,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1371,Seton Hall,1985,2019,2018,5,31.25,2,10,6.75,R32,2004,R64,2006,R64
1372,SF Austin,1987,2019,2018,5,31.25,12,14,13.2,R32,2014,R64,2009,R64
1373,Siena,1985,2019,2010,3,18.75,9,16,13.0,R32,2008,R64,2010,R64
1374,SMU,1985,2019,2017,2,12.5,5,10,6.8,R64,2015,R64,2015,R64
1375,South Alabama,1985,2019,2008,2,12.5,10,14,12.166666666666666,R64,2006,R64,2006,R64
1376,South Carolina,1985,2019,2017,2,12.5,2,12,6.8,Final Four,2017,R64,2004,Sweet 16
1377,South Dakota,2009,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1378,South Florida,1985,2019,2012,1,6.25,11,15,12.666666666666666,Sweet 16,2012,Sweet 16,2012,Sweet 16
